seed,model,variant,target_score,separable_lower,separable_upper,separable_bound_gap,certification_converged,certification_evaluations,certified_margin,certified_detected,witness_expectation_target,normalized_margin,estimated_boundary,boundary_error,pauli_cosine,fake_fidelity,fake_trace_distance,fake_negativity,target_output_mass,fake_output_mass,linearity_error,observable_norm,witness_norm,candidate,target_p,best_epoch_instant,best_epoch_ema,best_normalized_validation_gap_instant,best_normalized_validation_gap_ema,seconds,generator_parameters,discriminator_parameters,primary
20,qsnn,best_ema,0.23320728898498058,0.10458958520421478,0.10508957896693902,0.0004999937617242295,1,82964,0.12811771001804156,1,-0.12811771001804156,0.2888007306432483,0.36590794452856457,0.03257461119523125,0.9933852576564927,0.8680188356688424,0.3307575549347962,0.0,0.8986001241319611,0.8873336291924989,2.220446049250313e-16,0.4522495240572527,0.4436197572377463,q0_m90_d2_g5,0.6,780,540,0.2603133060226125,0.3078238218346349,37.71006290009245,80,46,1
20,qsnn,final_ema,0.3201387552732795,0.08898859468549986,0.08948859389159622,0.0004999992050963575,1,214192,0.2306501613816833,1,-0.2306501613816833,0.29566659174209353,0.36572855619020056,0.032395222856867245,0.9943438177533666,0.843844606422633,0.3513625936619578,0.0,0.9340904908460892,0.9278560493233298,2.220446049250313e-16,0.7154299625411142,0.7801022091223505,q0_m90_d2_g5,0.6,780,540,0.2603133060226125,0.3078238218346349,37.71006290009245,80,46,0
20,vqc,best_ema,0.44686055293578475,0.12403605440388493,0.12453605155301943,0.0004999971481344928,1,168741,0.3223245013827653,1,-0.3223245013827653,0.30685958550077075,0.3648987289673608,0.03156539563402749,0.9949970794834552,0.9270279304692406,0.25006278508567337,0.0,1.0000000000000004,1.0000000000000004,1.6653345369377348e-16,0.9963174361885703,1.050397369392118,v0_d2_g5,0.6,940,940,0.30810527544423183,0.31814547626060546,52.90322270011529,80,48,1
20,vqc,final_ema,0.4420597799328497,0.1187601597618827,0.11926015930848416,0.0004999995456014539,1,135211,0.3227996206243655,1,-0.3227996206243655,0.30689280406091296,0.3673373732610443,0.034004039927711005,0.9961115986235547,0.9265950023259425,0.2501507153837863,0.0,1.0000000000000004,1.0000000000000004,1.1102230246251565e-16,0.9977628044275799,1.0518318329819663,v0_d2_g5,0.6,940,940,0.30810527544423183,0.31814547626060546,52.90322270011529,80,48,0
21,qsnn,best_ema,0.1515223775741065,0.07868739756468415,0.07918733037130742,0.0004999328056232571,1,39018,0.07233504720279908,1,-0.07233504720279908,0.3130265271954419,0.36047199952232983,0.02713866618899652,0.9967253965166257,0.8087571039514854,0.40658214476220034,0.0,0.8757572960454281,0.8690083692984969,2.7755575615628914e-16,0.2723661922516808,0.2310828026330044,q0_m90_d2_g5,0.6,1000,400,0.3133375083177801,0.3379560168991724,38.00915420008823,80,46,1
21,qsnn,final_ema,0.3019617812562757,0.14879761036517883,0.14929758995118872,0.0004999795850098854,1,50021,0.152664191305087,1,-0.152664191305087,0.1858098760378719,0.44498882477595725,0.11165549144262393,0.9846373493480219,0.7816750408597404,0.4335059313570602,0.0,0.9336138371538254,0.9299546941687215,1.1102230246251565e-16,0.702836676446218,0.8216150538412224,q0_m90_d2_g5,0.6,1000,400,0.3133375083177801,0.3379560168991724,38.00915420008823,80,46,0
21,vqc,best_ema,0.43083246897683336,0.07585646200049745,0.07660128860144619,0.0007448265999487336,0,399727,0.35423118037538714,1,-0.35423118037538714,0.3316204445699316,0.3492452938542633,0.01591196052092997,0.9964789022292271,0.9307245957202764,0.2369837439388192,0.0,1.0,1.0,1.1102230246251565e-16,0.9968531320978257,1.068182574915665,v0_d2_g5,0.6,960,840,0.34320279723881747,0.3367216572948641,52.543157499982044,80,48,1
21,vqc,final_ema,0.42208510114560926,0.09413646794609659,0.09463646553741953,0.0004999975903229315,1,135502,0.3274486356081897,1,-0.3274486356081897,0.3043689875458856,0.37247709288762426,0.03914375955429095,0.9971837501238948,0.9142472788295576,0.27988932021808094,0.0,0.9999999999999992,0.999999999999999,2.220446049250313e-16,0.9990174937402941,1.0758278569981599,v0_d2_g5,0.6,960,840,0.34320279723881747,0.3367216572948641,52.543157499982044,80,48,0
22,qsnn,best_ema,0.30921968945448464,0.07833855641895004,0.07883847754731801,0.0004999211273679638,1,81453,0.23038121190716662,1,-0.23038121190716662,0.31108051709688983,0.366708065536035,0.03337473220270171,0.9957525737221344,0.882258471844329,0.2978143316419538,0.0,0.9335708210622211,0.9275278346810318,2.7755575615628914e-16,0.7042900236822109,0.7405838657372797,q0_m90_d2_g5,0.6,520,980,0.240634550342212,0.3379331564478231,37.956124499905854,80,46,1
22,qsnn,final_ema,0.31057461425465555,0.0780980077028493,0.07859800604821279,0.0004999983443634837,1,91442,0.23197660820644275,1,-0.23197660820644275,0.3096438682599711,0.36732157432072043,0.03398824098738712,0.9956598816711114,0.8867786376279085,0.2898071749762372,0.0,0.9344129616907311,0.9283220159141791,2.220446049250313e-16,0.7096209099667867,0.7491722975495179,q0_m90_d2_g5,0.6,520,980,0.240634550342212,0.3379331564478231,37.956124499905854,80,46,0
22,vqc,best_ema,0.44879574754671187,0.1560447746821978,0.15654476754301613,0.0004999928598183323,1,116455,0.29225098000369576,1,-0.29225098000369576,0.3060829113574201,0.3663250633852489,0.03299173005191558,0.9921245494995091,0.9201093664372056,0.24411550613493702,0.0,1.0000000000000007,1.0000000000000004,1.1102230246251565e-16,0.9557501745596133,0.9548098543222086,v0_d2_g5,0.6,720,780,0.23038202538113747,0.32246095146454384,52.65147240017541,80,48,1
22,vqc,final_ema,0.43542671474973277,0.1767272766969737,0.17722714786181726,0.0004998711638435627,1,57509,0.2581995668879155,1,-0.2581995668879155,0.2326920662258378,0.40917968060871257,0.07584634727537926,0.9903269954632249,0.920315772363749,0.2463781558655797,0.0,1.0000000000000009,1.0000000000000009,4.440892098500626e-16,0.9786519791138533,1.1096191248623044,v0_d2_g5,0.6,720,780,0.23038202538113747,0.32246095146454384,52.65147240017541,80,48,0
23,qsnn,best_ema,0.31403426021634084,0.10300240382879089,0.10350238637412258,0.0004999825443316869,1,110586,0.21053187384221828,1,-0.21053187384221828,0.3107327741621573,0.36033652509647235,0.027003191763139034,0.9963441195690188,0.8264096121049829,0.3464111766728156,0.0,0.9250554202337958,0.9168923269029504,2.220446049250313e-16,0.6656855961478418,0.6775335315364941,q0_m90_d2_g5,0.6,680,880,0.3170057218578492,0.33338567184394613,38.01164659997448,80,46,1
23,qsnn,final_ema,0.3282273381076389,0.1632167848448365,0.16371678059001268,0.0004999957441761682,1,39016,0.1645105575176262,1,-0.1645105575176262,0.20846751718113102,0.4239412285064403,0.09060789517310697,0.9891785918966485,0.8471634747437443,0.34761419967537566,0.0,0.9303848740172354,0.9244821102888089,1.6653345369377348e-16,0.7041519089204655,0.7891424032967593,q0_m90_d2_g5,0.6,680,880,0.3170057218578492,0.33338567184394613,38.01164659997448,80,46,0
23,vqc,best_ema,0.425270244406374,0.06142061255785736,0.06220727831902267,0.0007866657601653115,0,399730,0.36306296608735134,1,-0.36306296608735134,0.3480232737619501,0.34625168368618364,0.012918350352850327,0.9982363144903207,0.9494868342501063,0.2100185581314447,0.0,0.9999999999999999,0.9999999999999999,2.220446049250313e-16,0.998042974340476,1.043214616547997,v0_d2_g5,0.6,1000,940,0.3301233270541845,0.35549425296809734,52.514404099900275,80,48,1
23,vqc,final_ema,0.4212570251362988,0.072511916179755,0.07301191245370586,0.0004999962729508589,1,263911,0.34824511268259295,1,-0.34824511268259295,0.3299120059441788,0.3581575239252084,0.024824190591875073,0.9980279348120433,0.93328403050706,0.240878568341524,0.0,1.0000000000000009,1.0000000000000009,3.3306690738754696e-16,0.9981127704228265,1.0555696864863904,v0_d2_g5,0.6,1000,940,0.3301233270541845,0.35549425296809734,52.514404099900275,80,48,0
24,qsnn,best_ema,0.28571520140708057,0.09584598226380023,0.09634597811634606,0.000499995851545823,1,135287,0.18936922329073452,1,-0.18936922329073452,0.32908114901776037,0.350907264851359,0.017573931518025665,0.9971784978387963,0.8533486051159574,0.29987061429618117,0.0,0.9155858444240725,0.9061170237479867,2.7755575615628914e-16,0.5898442335979018,0.5754484079564045,q0_m90_d2_g5,0.6,800,720,0.29174444893631835,0.3368304088433571,38.25979320006445,80,46,1
24,qsnn,final_ema,0.31934844101693505,0.12502493450574914,0.1255249279358657,0.000499993429116552,1,60326,0.19382351308106935,1,-0.19382351308106935,0.2490365344171432,0.3978717941921521,0.06453846085881876,0.9931610557506291,0.8207379139389467,0.33198669775618844,0.0,0.9322443662741846,0.9261968144368912,3.3306690738754696e-16,0.7046687196623517,0.7782934882815608,q0_m90_d2_g5,0.6,800,720,0.29174444893631835,0.3368304088433571,38.25979320006445,80,46,0
