target_p,model,seed,candidate,variant,shots_per_pauli,repetitions,true_witness_expectation,theoretical_standard_error,mean_estimate,empirical_standard_deviation,certification_probability
0.6,vqc,27,v0_d2_g5,best_ema,100,2000,-0.344502604731136,0.06683622359416282,-0.3443363944740384,0.06635816446762426,0.999
0.6,vqc,27,v0_d2_g5,best_ema,500,2000,-0.344502604731136,0.029890067863184672,-0.3443117309069634,0.03049497095363964,1.0
0.6,vqc,27,v0_d2_g5,best_ema,1000,2000,-0.344502604731136,0.02113546967618398,-0.3441440608251214,0.02146112286875105,1.0
0.6,vqc,27,v0_d2_g5,best_ema,5000,2000,-0.344502604731136,0.00945206938646657,-0.3445271994316273,0.009731406353366938,1.0
0.6,vqc,27,v0_d2_g5,best_ema,10000,2000,-0.344502604731136,0.006683622359416281,-0.3444534714531836,0.0066901012509758065,1.0
0.6,qsnn,28,q0_m90_d2_g5,best_ema,100,2000,-0.1821108874505989,0.04033765301296748,-0.18197183306549702,0.04140258182457316,0.994
0.6,qsnn,28,q0_m90_d2_g5,best_ema,500,2000,-0.1821108874505989,0.018039546837958897,-0.1822921624810055,0.018408038471464473,1.0
0.6,qsnn,28,q0_m90_d2_g5,best_ema,1000,2000,-0.1821108874505989,0.012755885898653077,-0.18207373955208236,0.01283187267643393,1.0
0.6,qsnn,28,q0_m90_d2_g5,best_ema,5000,2000,-0.1821108874505989,0.005704605596523855,-0.182085421431217,0.0055661222664783435,1.0
0.6,qsnn,28,q0_m90_d2_g5,best_ema,10000,2000,-0.1821108874505989,0.004033765301296748,-0.18215755826862903,0.003975174319367243,1.0
0.6,vqc,28,v0_d2_g5,best_ema,100,2000,-0.33438129533673594,0.06582914913561069,-0.33390321343873314,0.06629954624732758,0.999
0.6,vqc,28,v0_d2_g5,best_ema,500,2000,-0.33438129533673594,0.029439690473639403,-0.3337340965328222,0.030368577465863602,1.0
0.6,vqc,28,v0_d2_g5,best_ema,1000,2000,-0.33438129533673594,0.020817004769943425,-0.3338469201223711,0.020340398040305813,1.0
0.6,vqc,28,v0_d2_g5,best_ema,5000,2000,-0.33438129533673594,0.009309647550706174,-0.33440788327327686,0.009190220183362404,1.0
0.6,vqc,28,v0_d2_g5,best_ema,10000,2000,-0.33438129533673594,0.006582914913561068,-0.3344611268597912,0.0066077802559441805,1.0
0.6,qsnn,29,q0_m90_d2_g5,best_ema,100,2000,-0.1471329668370535,0.02997850819975669,-0.14737629055527912,0.02952108718359276,1.0
0.6,qsnn,29,q0_m90_d2_g5,best_ema,500,2000,-0.1471329668370535,0.013406796439738163,-0.1468515638215588,0.013306550882900685,1.0
0.6,qsnn,29,q0_m90_d2_g5,best_ema,1000,2000,-0.1471329668370535,0.009480036676526518,-0.147033517168892,0.00922191877595802,1.0
0.6,qsnn,29,q0_m90_d2_g5,best_ema,5000,2000,-0.1471329668370535,0.004239601287580896,-0.14724141651417152,0.004239354600013157,1.0
0.6,qsnn,29,q0_m90_d2_g5,best_ema,10000,2000,-0.1471329668370535,0.002997850819975669,-0.1471920624122721,0.00305973130232241,1.0
0.6,vqc,29,v0_d2_g5,best_ema,100,2000,-0.32445484240802935,0.06428944644764982,-0.3239415924535158,0.06287204426809795,0.999
0.6,vqc,29,v0_d2_g5,best_ema,500,2000,-0.32445484240802935,0.028751114498555472,-0.32473363631044594,0.027797124478981132,1.0
0.6,vqc,29,v0_d2_g5,best_ema,1000,2000,-0.32445484240802935,0.02033010802859944,-0.3248489747739485,0.020868277393121807,1.0
0.6,vqc,29,v0_d2_g5,best_ema,5000,2000,-0.32445484240802935,0.009091900708372519,-0.3244722773279136,0.009163582128981499,1.0
0.6,vqc,29,v0_d2_g5,best_ema,10000,2000,-0.32445484240802935,0.0064289446447649825,-0.3245993307785292,0.0064334030588018365,1.0
0.6,qsnn,30,q0_m90_d2_g5,best_ema,100,2000,-0.22253390192233058,0.04267628065190855,-0.22268946217211855,0.04252505148063794,1.0
0.6,qsnn,30,q0_m90_d2_g5,best_ema,500,2000,-0.22253390192233058,0.019085412912905313,-0.22261002751437836,0.018802601127779563,1.0
0.6,qsnn,30,q0_m90_d2_g5,best_ema,1000,2000,-0.22253390192233058,0.013495424892460646,-0.22210531367862138,0.013496155612575231,1.0
0.6,qsnn,30,q0_m90_d2_g5,best_ema,5000,2000,-0.22253390192233058,0.006035337488956958,-0.2224580858500352,0.00587260297684083,1.0
0.6,qsnn,30,q0_m90_d2_g5,best_ema,10000,2000,-0.22253390192233058,0.004267628065190855,-0.22254711438150998,0.004327140951358367,1.0
0.6,vqc,30,v0_d2_g5,best_ema,100,2000,-0.31747302633896035,0.06316284135620971,-0.3187053570634134,0.06291654828272333,1.0
0.6,vqc,30,v0_d2_g5,best_ema,500,2000,-0.31747302633896035,0.028247281384903983,-0.3177068401672582,0.02906624169495386,1.0
0.6,vqc,30,v0_d2_g5,best_ema,1000,2000,-0.31747302633896035,0.01997384421735014,-0.3176344954145177,0.019265530420199017,1.0
0.6,vqc,30,v0_d2_g5,best_ema,5000,2000,-0.31747302633896035,0.008932574688397199,-0.31743305232652685,0.0089050467767467,1.0
0.6,vqc,30,v0_d2_g5,best_ema,10000,2000,-0.31747302633896035,0.00631628413562097,-0.31740723310699853,0.0063874313470192135,1.0
0.6,qsnn,31,q0_m90_d2_g5,best_ema,100,2000,-0.2482522426340582,0.04760759183385872,-0.24691289433821106,0.04771766130687749,0.9995
0.6,qsnn,31,q0_m90_d2_g5,best_ema,500,2000,-0.2482522426340582,0.02129076231711439,-0.24887801604893492,0.021256676076058436,1.0
0.6,qsnn,31,q0_m90_d2_g5,best_ema,1000,2000,-0.2482522426340582,0.0150548424110626,-0.24781984785044647,0.014920641566490547,1.0
0.6,qsnn,31,q0_m90_d2_g5,best_ema,5000,2000,-0.2482522426340582,0.00673273020433656,-0.24825617098373085,0.006668635855798304,1.0
0.6,qsnn,31,q0_m90_d2_g5,best_ema,10000,2000,-0.2482522426340582,0.004760759183385871,-0.2480922611953797,0.004741637562954813,1.0
0.6,vqc,31,v0_d2_g5,best_ema,100,2000,-0.37007524505789613,0.06711391817836379,-0.3725589163787931,0.06661928979426289,1.0
0.6,vqc,31,v0_d2_g5,best_ema,500,2000,-0.37007524505789613,0.03001425665663606,-0.36920202984526235,0.02975432464064313,1.0
