N,N_in,stage2_steps,ratio_u,ratio_d,T_u,T_d,final_train_loss,final_test_loss,final_train_acc,final_test_acc,best_test_acc,best_epoch
20,18,20,0.9,0.09999999999999998,1.8,0.19999999999999996,0.21608252823352814,0.23379342257976532,0.9285714626312256,0.9305555820465088,0.9583333134651184,8
20,18,20,1.0,0.0,2.0,0.0,0.5,0.5,0.5178571343421936,0.4583333432674408,0.4583333432674408,1
40,38,12,0.0,1.0,0.0,2.0,0.1880435347557068,0.2055496722459793,0.9047619104385376,0.9305555820465088,0.9305555820465088,15
40,38,12,0.1,0.9,0.2,1.8,0.1738460510969162,0.18242931365966797,0.898809552192688,0.9166666865348816,0.9305555820465088,11
40,38,12,0.2,0.8,0.4,1.6,0.23439662158489227,0.25082436203956604,0.8690476417541504,0.8888888955116272,0.8888888955116272,17
40,38,12,0.3,0.7,0.6,1.4,0.1712922900915146,0.18628345429897308,0.9464285969734192,0.9583333134651184,0.9583333134651184,18
40,38,12,0.4,0.6,0.8,1.2,0.1733403503894806,0.1898552030324936,0.9345238208770752,0.944444477558136,0.9583333134651184,19
40,38,12,0.5,0.5,1.0,1.0,0.15649698674678802,0.1639614701271057,0.9166666865348816,0.9305555820465088,0.9305555820465088,10
40,38,12,0.6,0.4,1.2,0.8,0.15082359313964844,0.15400031208992004,0.9464285969734192,0.944444477558136,0.944444477558136,16
40,38,12,0.7,0.30000000000000004,1.4,0.6000000000000001,0.16217266023159027,0.17301037907600403,0.9583333730697632,0.9722222089767456,0.9722222089767456,18
40,38,12,0.8,0.19999999999999996,1.6,0.3999999999999999,0.14671970903873444,0.14995276927947998,0.9345238208770752,0.9305555820465088,1.0,19
40,38,12,0.9,0.09999999999999998,1.8,0.19999999999999996,0.13027304410934448,0.14532525837421417,0.9642857313156128,0.9861111044883728,0.9861111044883728,14
40,38,12,1.0,0.0,2.0,0.0,0.5,0.5,0.5178571343421936,0.4583333432674408,0.4583333432674408,1
40,38,20,0.0,1.0,0.0,2.0,0.1982785165309906,0.2114841490983963,0.9404761791229248,0.9305555820465088,0.944444477558136,11
40,38,20,0.1,0.9,0.2,1.8,0.1740078628063202,0.18609102070331573,0.9345238208770752,0.9305555820465088,0.944444477558136,18
40,38,20,0.2,0.8,0.4,1.6,0.2279127687215805,0.24345353245735168,0.8928571343421936,0.8888888955116272,0.9027777910232544,16
40,38,20,0.3,0.7,0.6,1.4,0.20388056337833405,0.22124291956424713,0.898809552192688,0.9305555820465088,0.9305555820465088,20
40,38,20,0.4,0.6,0.8,1.2,0.20915772020816803,0.22986920177936554,0.9404761791229248,0.944444477558136,0.944444477558136,19
40,38,20,0.5,0.5,1.0,1.0,0.17153339087963104,0.19739416241645813,0.9523809552192688,0.9583333134651184,0.9583333134651184,19
40,38,20,0.6,0.4,1.2,0.8,0.17944665253162384,0.1954459398984909,0.9940476417541504,0.9861111044883728,0.9861111044883728,20
40,38,20,0.7,0.30000000000000004,1.4,0.6000000000000001,0.18654975295066833,0.2093159705400467,0.9464285969734192,0.9722222089767456,0.9861111044883728,19
40,38,20,0.8,0.19999999999999996,1.6,0.3999999999999999,0.16331511735916138,0.19315104186534882,0.9702380895614624,0.9722222089767456,0.9722222089767456,16
40,38,20,0.9,0.09999999999999998,1.8,0.19999999999999996,0.16813777387142181,0.1768122762441635,0.9464285969734192,0.944444477558136,0.9722222089767456,19
40,38,20,1.0,0.0,2.0,0.0,0.5,0.5,0.5178571343421936,0.4583333432674408,0.4583333432674408,1
60,58,12,0.0,1.0,0.0,2.0,0.22389616072177887,0.24154403805732727,0.8630952835083008,0.8888888955116272,0.8888888955116272,16
60,58,12,0.1,0.9,0.2,1.8,0.17895568907260895,0.20928271114826202,0.9940476417541504,0.9722222089767456,1.0,17
60,58,12,0.2,0.8,0.4,1.6,0.21791724860668182,0.23619405925273895,0.9226190447807312,0.9305555820465088,0.9305555820465088,19
60,58,12,0.3,0.7,0.6,1.4,0.16861742734909058,0.18778225779533386,0.9821428656578064,0.9861111044883728,0.9861111044883728,20
60,58,12,0.4,0.6,0.8,1.2,0.19021952152252197,0.2065880298614502,0.9583333730697632,0.9583333134651184,0.9722222089767456,18
60,58,12,0.5,0.5,1.0,1.0,0.17110656201839447,0.1812421977519989,0.9464285969734192,0.9583333134651184,0.9722222089767456,16
60,58,12,0.6,0.4,1.2,0.8,0.17411990463733673,0.1927403211593628,1.0,0.9861111044883728,0.9861111044883728,20
60,58,12,0.7,0.30000000000000004,1.4,0.6000000000000001,0.17997755110263824,0.19515497982501984,0.9166666865348816,0.9583333134651184,0.9861111044883728,17
60,58,12,0.8,0.19999999999999996,1.6,0.3999999999999999,0.1538664549589157,0.16051501035690308,0.9940476417541504,0.9861111044883728,0.9861111044883728,20
60,58,12,0.9,0.09999999999999998,1.8,0.19999999999999996,0.1986001431941986,0.21083146333694458,0.9821428656578064,0.9722222089767456,0.9861111044883728,18
60,58,12,1.0,0.0,2.0,0.0,0.5,0.5,0.5178571343421936,0.4583333432674408,0.4583333432674408,1
60,58,20,0.0,1.0,0.0,2.0,0.19981306791305542,0.22180946171283722,0.9464285969734192,0.9583333134651184,0.9583333134651184,20
60,58,20,0.1,0.9,0.2,1.8,0.2362479269504547,0.2540595829486847,0.875,0.8888888955116272,0.8888888955116272,20
60,58,20,0.2,0.8,0.4,1.6,0.153980553150177,0.17260201275348663,0.9940476417541504,0.9861111044883728,0.9861111044883728,18
60,58,20,0.3,0.7,0.6,1.4,0.13968101143836975,0.14592288434505463,0.9226190447807312,0.9305555820465088,0.944444477558136,18
60,58,20,0.4,0.6,0.8,1.2,0.16401861608028412,0.18336248397827148,0.9345238208770752,0.9305555820465088,0.944444477558136,18
60,58,20,0.5,0.5,1.0,1.0,0.19248835742473602,0.2022252082824707,0.886904776096344,0.9027777910232544,0.9722222089767456,16
60,58,20,0.6,0.4,1.2,0.8,0.17339739203453064,0.18949776887893677,0.9464285969734192,0.9722222089767456,0.9722222089767456,20
60,58,20,0.7,0.30000000000000004,1.4,0.6000000000000001,0.16372419893741608,0.17437319457530975,0.9166666865348816,0.9166666865348816,0.9861111044883728,19
60,58,20,0.8,0.19999999999999996,1.6,0.3999999999999999,0.18212531507015228,0.19299359619617462,0.9345238208770752,0.9722222089767456,0.9861111044883728,17
60,58,20,0.9,0.09999999999999998,1.8,0.19999999999999996,0.2114918828010559,0.2301013171672821,0.886904776096344,0.8888888955116272,0.9861111044883728,18
60,58,20,1.0,0.0,2.0,0.0,0.5,0.5,0.5178571343421936,0.4583333432674408,0.4583333432674408,1
