angle_degrees,fixed_pauli_measurement,fixed_pauli_success,helstrom_success,noise_model,noise_strength,phase_degrees,qsnn_helstrom_gap,qsnn_min_povm_eigenvalue,qsnn_success,qsnn_success_1024_shots,qsnn_success_128_shots,qsnn_success_512_shots,qsnn_train_seconds,qsnn_weighted_leakage,seed,unitary_helstrom_gap,unitary_success
30.0,X:+->1,0.5898464948803205,0.6164685702961343,depolarizing,0.1,37.0,0.0004025017942248521,0.00023352935517429593,0.6160660685019095,0.63330078125,0.64453125,0.5986328125,0.328118700068444,0.00023569447421728507,3,6.439293542825908e-15,0.6164685702961279
30.0,X:+->1,0.5898464948803205,0.6164685702961343,depolarizing,0.1,37.0,0.0003894000489255145,0.0002335716312595262,0.6160791702472088,0.61474609375,0.6328125,0.5966796875,0.32650259998627007,0.00023520472160143413,4,2.986499936241671e-14,0.6164685702961045
30.0,X:+->1,0.5798635510047293,0.6035276180410083,depolarizing,0.2,37.0,0.00035808972489292934,0.00023738408831302217,0.6031695283161154,0.6015625,0.640625,0.6123046875,0.3414525000844151,0.00023881004797232652,0,8.659739592076221e-15,0.6035276180409996
30.0,X:+->1,0.5798635510047293,0.6035276180410083,depolarizing,0.2,37.0,0.0003615866517563404,0.00023739431022409127,0.603166031389252,0.60595703125,0.59375,0.6005859375,0.321043899981305,0.00023874478763508122,1,4.218847493575595e-15,0.6035276180410041
30.0,X:+->1,0.5798635510047293,0.6035276180410083,depolarizing,0.2,37.0,0.0003560092951988558,0.00023737704043417469,0.6031716087458094,0.61376953125,0.58984375,0.6103515625,0.32879349985159934,0.00023884987263900204,2,3.441691376337985e-14,0.6035276180409739
30.0,X:+->1,0.5798635510047293,0.6035276180410083,depolarizing,0.2,37.0,0.0003729573479731574,0.00023735376265050673,0.6031546606930351,0.62060546875,0.62890625,0.5849609375,0.3243855000473559,0.00023914596882007588,3,1.5765166949677223e-14,0.6035276180409925
30.0,X:+->1,0.5798635510047293,0.6035276180410083,depolarizing,0.2,37.0,0.0003613404266324949,0.0002373947420013539,0.6031662776143758,0.576171875,0.6171875,0.5849609375,0.31888709985651076,0.00023875017137930943,4,3.9968028886505635e-14,0.6035276180409683
30.0,X:+->1,0.5698806071291381,0.5905866657858823,depolarizing,0.3,37.0,0.000330436196856132,0.0002413465678733596,0.5902562295890261,0.5888671875,0.6328125,0.599609375,0.32682499988004565,0.00024250460314745315,0,4.884981308350689e-15,0.5905866657858774
30.0,X:+->1,0.5698806071291381,0.5905866657858823,depolarizing,0.3,37.0,0.00033350100047702114,0.00024135694714011135,0.5902531647854052,0.59326171875,0.5859375,0.5869140625,0.3276074000168592,0.0002424547358375606,1,1.3988810110276972e-14,0.5905866657858683
30.0,X:+->1,0.5698806071291381,0.5905866657858823,depolarizing,0.3,37.0,0.0003286129555355455,0.00024133967125517444,0.5902580528303467,0.60107421875,0.58203125,0.59765625,0.32181960018351674,0.00024253536765650452,2,3.219646771412954e-14,0.5905866657858501
30.0,X:+->1,0.5698806071291381,0.5905866657858823,depolarizing,0.3,37.0,0.0003434227487786323,0.00024131503343687057,0.5902432430371036,0.607421875,0.62109375,0.5712890625,0.32130479998886585,0.00024276692033109448,3,3.197442310920451e-14,0.5905866657858503
30.0,X:+->1,0.5698806071291381,0.5905866657858823,depolarizing,0.3,37.0,0.00033328502582041786,0.00024135708573171588,0.5902533807600618,0.58935546875,0.609375,0.5712890625,0.3223919998854399,0.00024245862978433674,4,3.430589146091734e-14,0.590586665785848
45.0,X:+->1,0.6411801462127045,0.6913417161825449,depolarizing,0.0,37.0,0.0005607619613064996,0.00021387456899358838,0.6907809542212384,0.68359375,0.73046875,0.69921875,0.3237989000044763,0.00021567105020642297,0,8.770761894538737e-15,0.6913417161825361
45.0,X:+->1,0.6411801462127045,0.6913417161825449,depolarizing,0.0,37.0,0.0005675789408382537,0.00021389807875581832,0.6907741372417067,0.693359375,0.6875,0.6884765625,0.3331188999582082,0.0002155925038522244,1,3.3306690738754696e-16,0.6913417161825446
45.0,X:+->1,0.6411801462127045,0.6913417161825449,depolarizing,0.0,37.0,0.0005566861796756362,0.0002138559014281327,0.6907850300028693,0.70068359375,0.67578125,0.69921875,0.3167842999100685,0.00021571754132621024,2,4.551914400963142e-15,0.6913417161825404
45.0,X:+->1,0.6411801462127045,0.6913417161825449,depolarizing,0.0,37.0,0.0005272160769435041,0.00021375507597693968,0.6908145001056014,0.70751953125,0.71484375,0.673828125,0.3328781998716295,0.00021607255899758204,3,4.9960036108132044e-15,0.6913417161825399
45.0,X:+->1,0.6411801462127045,0.6913417161825449,depolarizing,0.0,37.0,0.0005669095856470907,0.00021390170954255265,0.6907748065968978,0.68896484375,0.703125,0.6708984375,0.318780800094828,0.00021559993064762528,4,2.020605904817785e-14,0.6913417161825247
45.0,X:+->1,0.6341211389020692,0.6817746303734177,depolarizing,0.05,37.0,0.0005396062262976731,0.0002161967795391196,0.68123502414712,0.67822265625,0.71484375,0.6904296875,0.3235476000700146,0.000217856820547091,0,6.661338147750939e-15,0.681774630373411
45.0,X:+->1,0.6341211389020692,0.6817746303734177,depolarizing,0.05,37.0,0.0005460856686784199,0.0002162206470309648,0.6812285447047393,0.68359375,0.671875,0.677734375,0.3304411000572145,0.00021778624216550746,1,3.3306690738754696e-16,0.6817746303734173
45.0,X:+->1,0.6341211389020692,0.6817746303734177,depolarizing,0.05,37.0,0.0005357325145159963,0.0002161785770973788,0.6812388978589017,0.69091796875,0.66015625,0.689453125,0.32993289991281927,0.0002178989388076924,2,3.6637359812630166e-15,0.681774630373414
45.0,X:+->1,0.6341211389020692,0.6817746303734177,depolarizing,0.05,37.0,0.0005077245811718756,0.0002160788783965863,0.6812669057922458,0.69775390625,0.703125,0.6630859375,0.3203836001921445,0.0002182214481205591,3,7.438494264988549e-15,0.6817746303734102
45.0,X:+->1,0.6341211389020692,0.6817746303734177,depolarizing,0.05,37.0,0.000545449279194532,0.00021622344855001547,0.6812291810942231,0.67919921875,0.6875,0.6611328125,0.33235549996607006,0.00021779260184717764,4,1.8762769116165146e-14,0.6817746303733989
45.0,X:+->1,0.6270621315914341,0.6722075445642904,depolarizing,0.1,37.0,0.0005184490235579098,0.0002185758438630673,0.6716890955407325,0.6689453125,0.70703125,0.6806640625,0.32182900002226233,0.00022010293830793115,0,4.9960036108132044e-15,0.6722075445642854
45.0,X:+->1,0.6270621315914341,0.6722075445642904,depolarizing,0.1,37.0,0.0005245905321947797,0.00021859964113171292,0.6716829540320957,0.673828125,0.6640625,0.669921875,0.32220449997112155,0.00022003985844026852,1,7.771561172376096e-16,0.6722075445642897
45.0,X:+->1,0.6270621315914341,0.6722075445642904,depolarizing,0.1,37.0,0.0005147775499764196,0.00021855826232071047,0.671692767014314,0.68115234375,0.65234375,0.6796875,0.32046220009215176,0.00022014088488853112,2,3.3306690738754696e-15,0.6722075445642871
45.0,X:+->1,0.6270621315914341,0.6722075445642904,depolarizing,0.1,37.0,0.0004882323319390647,0.00021846159592540885,0.6717193122323514,0.68798828125,0.6953125,0.6533203125,0.32228390011005104,0.00022043266086513302,3,1.0658141036401503e-14,0.6722075445642798
45.0,X:+->1,0.6270621315914341,0.6722075445642904,depolarizing,0.1,37.0,0.0005239872020360581,0.00021860179274503107,0.6716835573622544,0.66943359375,0.6796875,0.6513671875,0.3224716999102384,0.0002200452810149911,4,1.8096635301390052e-14,0.6722075445642723
45.0,X:+->1,0.6129441169701636,0.653073372946036,depolarizing,0.2,37.0,0.0004761286293158973,0.00022351047846149222,0.6525972443167201,0.64990234375,0.69140625,0.6611328125,0.31461620004847646,0.00022478397843955777,0,3.3306690738754696e-15,0.6530733729460326
45.0,X:+->1,0.6129441169701636,0.653073372946036,depolarizing,0.2,37.0,0.000481593178806361,0.00022353344289961346,0.6525917797672296,0.65478515625,0.6484375,0.650390625,0.3193345000036061,0.00022473471410477952,1,2.7755575615628914e-15,0.6530733729460332
45.0,X:+->1,0.6129441169701636,0.653073372946036,depolarizing,0.2,37.0,0.0004728621126064425,0.00022349426724325847,0.6526005108334295,0.662109375,0.63671875,0.66015625,0.32554470002651215,0.000224814073271129,2,5.662137425588298e-15,0.6530733729460303
45.0,X:+->1,0.6129441169701636,0.653073372946036,depolarizing,0.2,37.0,0.0004492448299066032,0.0002234041238431722,0.6526241281161294,0.66943359375,0.6796875,0.6337890625,0.32669440004974604,0.00022504745348617128,3,1.709743457922741e-14,0.6530733729460189
45.0,X:+->1,0.6129441169701636,0.653073372946036,depolarizing,0.2,37.0,0.0004810561953063619,0.00022353465338739205,0.6525923167507296,0.6259765625,0.6640625,0.6318359375,0.32342670019716024,0.00022473856399729542,4,1.965094753586527e-14,0.6530733729460163
45.0,X:+->1,0.5988261023488931,0.6339392013277814,depolarizing,0.3,37.0,0.00043379770117479843,0.00022869277214777314,0.6335054036266066,0.630859375,0.671875,0.642578125,0.31908300006762147,0.0002297313255601452,0,1.5543122344752192e-15,0.6339392013277798
45.0,X:+->1,0.5988261023488931,0.6339392013277814,depolarizing,0.3,37.0,0.00043858389672535303,0.0002287144316743804,0.633500617431056,0.6357421875,0.63671875,0.630859375,0.3225680000614375,0.0002296943943256302,1,0.0,0.6339392013277814
45.0,X:+->1,0.5988261023488931,0.6339392013277814,depolarizing,0.3,37.0,0.00043093682031125624,0.0002286779435320712,0.6335082645074701,0.64306640625,0.62109375,0.6435546875,0.3244308999273926,0.0002297542316797574,2,1.3100631690576847e-14,0.6339392013277683
45.0,X:+->1,0.5988261023488931,0.6339392013277814,depolarizing,0.3,37.0,0.0004102517379582782,0.00022859345009040312,0.6335289495898231,0.650390625,0.66015625,0.615234375,0.32319179992191494,0.0002299332347494576,3,2.2870594307278225e-14,0.6339392013277585
