epoch,train_bce_per_pixel,train_mse_per_pixel,val_bce_per_pixel,val_mse_per_pixel,latent_effective_dimensions,latent_max_mean_probability,latent_mean_component_std,latent_active_variance_dimensions,epoch_seconds
0,0.6545211520378822,0.20967930376394536,0.5021752431441326,0.14074538873166453,56.345733642578125,0.03621648997068405,0.002531068865209818,61,0.7410509000001184
1,0.40037226929956554,0.10455387007352177,0.30928251305404975,0.07513840655891263,61.921817779541016,0.02908598817884922,0.007670463994145393,64,0.08315390000007028
2,0.27100388438252904,0.06407141259468062,0.24433743223852042,0.056252995705117985,63.195709228515625,0.02275826595723629,0.011368827894330025,64,0.09265239999967889
3,0.22490640142877627,0.05000019475716312,0.21367077885841837,0.045815541792889034,62.02548599243164,0.027133682742714882,0.015505446121096611,64,0.07640799999990122
4,0.20021788651170103,0.041505657766951996,0.19259243712133292,0.03847325850506218,61.62763595581055,0.027328576892614365,0.0183761864900589,64,0.0735990999992282
5,0.1800304767496191,0.03438160370807258,0.1741239524374203,0.03209534859170719,61.69750213623047,0.03025086782872677,0.021539052948355675,64,0.08436410000012984
6,0.16405237375203174,0.028859697739823876,0.161865309111926,0.027925908614178093,62.081825256347656,0.030408291146159172,0.021978560835123062,64,0.07803849999982049
7,0.15355852849359145,0.025383792593906256,0.15375701281489157,0.025229324029416453,62.489845275878906,0.025761855766177177,0.021278303116559982,64,0.07493350000004284
8,0.14493040275141225,0.0225019911141082,0.14611288265306122,0.02245642681511081,62.63274002075195,0.02390405349433422,0.021575866267085075,64,0.07990370000061375
9,0.13774416471554848,0.020120265240571936,0.1400062218490912,0.02063806183484136,62.7215576171875,0.027405351400375366,0.02138347551226616,64,0.07575570000062726
10,0.13256714152641036,0.018428485442181022,0.13549287757095024,0.01925556260712293,62.84741973876953,0.023670464754104614,0.02036268822848797,64,0.07134969999970053
11,0.12778125754289346,0.016882947664412243,0.131476384376993,0.01800138590287189,63.085243225097656,0.022079044952988625,0.020075641572475433,64,0.07650240000020858
12,0.12380340230167589,0.015634609263500118,0.1278915093869579,0.016916326406050702,62.96464157104492,0.02356366626918316,0.019664712250232697,64,0.06841330000042944
13,0.12077361130660354,0.014674879180060493,0.12580771932796556,0.016081750830825494,63.2538948059082,0.021162506192922592,0.019355610013008118,64,0.07599729999947158
14,0.11807745503189883,0.01380207675384556,0.12308705855389031,0.015299083943269691,63.089813232421875,0.026411904022097588,0.01892273873090744,64,0.07885799999985466
15,0.11610992500841483,0.013220323018746582,0.12275014137735173,0.015315222448232222,62.8723258972168,0.024917904287576675,0.018555238842964172,64,0.07446609999988141
16,0.11463019528897171,0.01277036703092441,0.1198158108458227,0.014153095167510364,63.210205078125,0.021870749071240425,0.018121492117643356,64,0.07643819999975676
17,0.11269236307295542,0.01214960802709705,0.11753660863759566,0.01359184304062201,63.07856750488281,0.02216644212603569,0.017627514898777008,64,0.07657270000072458
18,0.11066950692070855,0.011523380603920035,0.11610972813197544,0.013152669011330118,63.21349334716797,0.023866113275289536,0.017530320212244987,64,0.06804509999983566
19,0.10937798320571311,0.011130970075827877,0.1149723971619898,0.012680333585155254,63.408992767333984,0.020944999530911446,0.017311785370111465,64,0.07805950000056328
20,0.10830195312326998,0.010807326923962893,0.11368235996791294,0.01236836491798868,63.45823669433594,0.02070626989006996,0.017103439196944237,64,0.08045489999949496
21,0.10721870232060923,0.010460766161920803,0.1129660532425861,0.01214105528228137,63.55177688598633,0.020989999175071716,0.016714248806238174,64,0.07364670000060869
22,0.10605292759244404,0.010101459410185176,0.11194583192163585,0.011766890311727719,63.509822845458984,0.020356114953756332,0.016839325428009033,64,0.07155229999989388
23,0.10544530704178237,0.009942299900682064,0.11080551458864796,0.011471517913195551,63.37810516357422,0.019725577905774117,0.016324259340763092,64,0.07207490000018879
24,0.10468899110547539,0.009722304236050906,0.1107811316665338,0.011483281972456951,63.442626953125,0.02104388363659382,0.016155464574694633,64,0.08668740000030084
25,0.10381684919603827,0.009446849122879996,0.1102506178252551,0.011216867407973933,63.485660552978516,0.019860219210386276,0.01606796123087406,64,0.07846370000061142
26,0.1030838112171545,0.009237787818151807,0.10911348303970025,0.01097016392921915,63.449737548828125,0.0197922270745039,0.015788275748491287,64,0.08661810000012338
27,0.10226618959249553,0.008974881896626652,0.1085715593610491,0.010771420537209024,63.53293228149414,0.019525786861777306,0.015574395656585693,64,0.08530830000017886
28,0.10187276654232656,0.008874990594089707,0.10755021698620855,0.01055423269466478,63.546199798583984,0.019926121458411217,0.015519622713327408,64,0.07528379999985191
29,0.10089877736271104,0.008561544872465588,0.10750648965640944,0.0104779543195452,63.59539794921875,0.019407572224736214,0.015281179919838905,64,0.07914780000010069
30,0.10045942488170806,0.008442705320933509,0.10635690805863361,0.010133467693718113,63.51051330566406,0.019495366141200066,0.015152305364608765,64,0.08167969999976776
31,0.09975261675257262,0.00822205474317209,0.10614266531808035,0.010132151623161471,63.41074752807617,0.02062801830470562,0.014930317178368568,64,0.07713670000066486
32,0.09958534625652425,0.008179830618185792,0.10532685883191167,0.009925195343640386,63.516361236572266,0.019742928445339203,0.014563770964741707,64,0.08238930000061373
33,0.09869538529930201,0.007900696179223439,0.10533041817801339,0.009927116705446827,63.62806701660156,0.019064759835600853,0.01453059446066618,64,0.08116530000006605
34,0.09826578192159433,0.007778312413870883,0.10404677410514987,0.00949397495814732,63.57132339477539,0.019182361662387848,0.014351192861795425,64,0.07637069999964297
35,0.09771362473364589,0.007601774820124481,0.10532782106983418,0.009992928018375319,63.52000045776367,0.02064066380262375,0.014212056063115597,64,0.08524990000023536
36,0.09773355657010932,0.00762485279247604,0.10395351176359216,0.009534510787652464,63.49749755859375,0.01918666996061802,0.014152389019727707,64,0.08448649999991176
37,0.09690516396174355,0.007372468120657128,0.10343517381317761,0.00936767305646624,63.601192474365234,0.01924421824514866,0.013984674587845802,64,0.07804469999973662
38,0.09642475802882187,0.0072201302154264214,0.10281847895408164,0.009085950267558195,63.72027587890625,0.019401950761675835,0.013954045251011848,64,0.08070260000022245
39,0.09609180614791489,0.007115421689827156,0.10252929064692283,0.009026328884825414,63.702720642089844,0.01896468549966812,0.013864601962268353,64,0.07826620000014373
40,0.09570224044003994,0.007005693393499672,0.10177687664421237,0.008819394792829241,63.77709197998047,0.018443820998072624,0.01361626386642456,64,0.07307380000020203
41,0.09540499343353064,0.006918338637233051,0.101624793227838,0.008774169999725965,63.719486236572266,0.019382523372769356,0.013538258150219917,64,0.06550880000031611
42,0.09545031212354733,0.006939680862859263,0.10163604113520408,0.008782432711854273,63.69992446899414,0.019178196787834167,0.013531607575714588,64,0.08030570000028092
43,0.09482208360079465,0.006741299342676626,0.10116105060188138,0.008588835268604511,63.77949523925781,0.01873147115111351,0.013524124398827553,64,0.07169710000016494
44,0.09431473487629101,0.006589799592284118,0.10098302101602359,0.00852905156661053,63.78950119018555,0.018842363730072975,0.013387162238359451,64,0.07697379999990517
45,0.09406286559677988,0.006502144798940542,0.10118671339385364,0.008685809154899754,63.74915313720703,0.018761321902275085,0.01317601278424263,64,0.07631270000001678
46,0.0939177751000506,0.006476304771678518,0.10036551027881856,0.008340023196473414,63.80918502807617,0.018809132277965546,0.013286723755300045,64,0.0766343000004781
47,0.09344060132292663,0.006311841516538002,0.09998972678671078,0.00824175231310786,63.735626220703125,0.018686464056372643,0.013246357440948486,64,0.07416600000033213
48,0.09320456602135484,0.006245120728637626,0.09984561219507335,0.00823563478430923,63.70171356201172,0.018624193966388702,0.012867038138210773,64,0.06422400000064954
49,0.09299006680512374,0.00618615188295879,0.0993714935925542,0.008072128295898437,63.80005645751953,0.01928684674203396,0.012985393404960632,64,0.07874959999935527
