seed,model,variant,target_score,separable_lower,separable_upper,separable_bound_gap,certification_converged,certification_evaluations,certified_margin,certified_detected,witness_expectation_target,normalized_margin,estimated_boundary,boundary_error,pauli_cosine,fake_fidelity,fake_trace_distance,fake_negativity,target_output_mass,fake_output_mass,linearity_error,observable_norm,witness_norm,best_epoch,best_validation_gap,seconds,generator_parameters,discriminator_parameters
0,qsnn,best,0.39442462073310647,0.2642966508395498,0.26479664513816176,0.0004999942976119942,1,64407,0.1296279755949447,1,-0.1296279755949447,0.16115389442786016,0.44849338538593214,0.11516005205259883,0.9729866506784227,0.9082680979015949,0.29104785651192183,0.0,0.9162238630808677,0.8983997901846572,2.220446049250313e-16,0.7499910325119835,0.8043738319521165,900,0.1471677664346978,33.50844110012986,80,46
0,qsnn,final,0.3926843008619798,0.3547831796760617,0.35528315534640126,0.0004999756693395696,1,30185,0.03740114551557855,1,-0.03740114551557855,0.03984446561360379,0.5578531534365335,0.2245198201032002,0.9515026630882255,0.936949482472537,0.24469562183237406,0.0,0.9191649965733495,0.8986859875104227,2.220446049250313e-16,0.7685766311026987,0.9386785577269472,900,0.1471677664346978,33.50844110012986,80,46
0,vqc,best,0.4866570551109606,0.24830020197937763,0.248800178243861,0.0004999762634833593,1,53245,0.23785687686709958,1,-0.23785687686709958,0.23393606180358012,0.40478052568285405,0.07144719234952074,0.9866878452681302,0.8759123658378354,0.33879005430364756,0.0,1.0000000000000009,1.0000000000000009,1.1102230246251565e-16,0.9807753406298607,1.0167601994890874,980,0.24512632365191758,45.80890189995989,80,48
0,vqc,final,0.48527396351036733,0.26316633486262014,0.26366633464479666,0.0004999997811765411,1,49899,0.22160762886557067,1,-0.22160762886557067,0.21212466339554517,0.4186367935636399,0.0853034602303066,0.9842375658724286,0.8773415236435401,0.33825029554108843,0.0,1.0000000000000018,1.0000000000000018,1.1102230246251565e-16,0.9811816468755822,1.0447046812861303,980,0.24512632365191758,45.80890189995989,80,48
1,qsnn,best,0.3281379932179805,0.12282169604201393,0.12332168733438266,0.000499991291368726,1,65943,0.20481630588359784,1,-0.20481630588359784,0.25230043619970266,0.39611704978402407,0.06278371645069075,0.9916500974136904,0.7761483050252461,0.45211840174925333,0.0,0.936346676367185,0.9320133897994793,1.1102230246251565e-16,0.7332973552088615,0.8117952904428598,860,0.2254448130478528,34.234874500194564,80,46
1,qsnn,final,0.31474249223056766,0.28801346197510114,0.28851345627451014,0.0004999942984090233,1,48476,0.026229035956057523,1,-0.026229035956057523,0.026022402653108737,0.5738253830065486,0.2404920496732153,0.9418579252464057,0.8846343880542491,0.28872496747816956,0.0,0.9402933439298089,0.9338325868808144,1.1102230246251565e-16,0.7606552228709348,1.0079405927924223,860,0.2254448130478528,34.234874500194564,80,46
1,vqc,best,0.4321913317282449,0.18451121577252616,0.1850112148162585,0.0004999990427323464,1,86009,0.2471801169119864,1,-0.2471801169119864,0.2113651331005639,0.421460602598851,0.08812726926551767,0.9854638201178605,0.8931126973647759,0.28715862537080716,0.0,0.9999999999999993,0.9999999999999993,1.6653345369377348e-16,0.9965274327433438,1.1694460353325273,740,0.25124257414221834,46.02914070012048,80,48
1,vqc,final,0.4165987248979324,0.2693597182910999,0.2698597004515917,0.0004999821594918186,1,49751,0.14673902444634074,1,-0.14673902444634074,0.11933590551981989,0.4942836735881667,0.1609503402548334,0.9729564413587868,0.9048818522136084,0.2737918027837414,0.0,1.0000000000000004,1.0000000000000007,2.220446049250313e-16,0.9933078203984561,1.2296301252096302,740,0.25124257414221834,46.02914070012048,80,48
2,qsnn,best,0.3922822042676908,0.23173978202431922,0.23223977093494927,0.0004999889096300447,1,72936,0.1600424333327415,1,-0.1600424333327415,0.22134540273119407,0.41537416328248694,0.08204082994915363,0.9880720796802264,0.7891997594390384,0.40774343323414075,0.0,0.9151121305915957,0.8868270390065813,1.6653345369377348e-16,0.7446356444990777,0.7230438552505198,800,0.17141474458801934,34.469604399986565,80,46
2,qsnn,final,0.40524725107348736,0.30557255945550144,0.30607242550552843,0.0004998660490270201,1,31464,0.09917482556795892,1,-0.09917482556795892,0.11601522221164196,0.49233343894819187,0.15900010561485856,0.9724867879727037,0.85509758335885,0.33174519395534763,0.0,0.9218826203967163,0.9026638810425345,8.326672684688674e-17,0.7808219565742863,0.8548432152035897,800,0.17141474458801934,34.469604399986565,80,46
2,vqc,best,0.45095930938585255,0.19095087396986554,0.1914508704946216,0.0004999965237560411,1,84174,0.259508438891231,1,-0.259508438891231,0.22314945169470504,0.40774164005671193,0.07440830672337861,0.9866266438603257,0.8714791035424542,0.3277232097882028,0.0,1.0000000000000004,1.0000000000000004,3.3306690738754696e-16,0.9987173309168803,1.1629355883261114,800,0.28690642757871887,46.163938200101256,80,48
2,vqc,final,0.4442798762464301,0.2116230245509606,0.21212302450162404,0.0004999999496634322,1,67323,0.23215685174480608,1,-0.23215685174480608,0.19309866480607024,0.4303760422404541,0.0970427089071208,0.9827101696409904,0.9392505444219833,0.22530851546030364,0.0,1.0,0.9999999999999999,3.3306690738754696e-16,0.9996973605117778,1.2022706214875287,800,0.28690642757871887,46.163938200101256,80,48
3,qsnn,best,0.315639580799233,0.13812376351478056,0.13862375895685447,0.0004999954410739027,1,57097,0.17701582184237852,1,-0.17701582184237852,0.211667410503219,0.42599705040327834,0.09266371706994503,0.9869764654405883,0.801127565900278,0.3803259994805768,0.0,0.9368215596854359,0.9310653139791174,2.220446049250313e-16,0.7271982830983426,0.8362922824139075,820,0.18690512653559338,34.430662899976596,80,46
3,qsnn,final,0.3163696616846032,0.20121808808566108,0.20171808807800792,0.0004999999913468389,1,47819,0.11465157360659525,1,-0.11465157360659525,0.12176214013298367,0.4921630673592995,0.15882973402596617,0.9718253336979648,0.8651228140152076,0.3102579127319248,0.0,0.9422073215129322,0.9387191487355532,4.440892098500626e-16,0.7589807549557647,0.9416028125111586,820,0.18690512653559338,34.430662899976596,80,46
3,vqc,best,0.45629565674947736,0.16094615947919705,0.16144615239431018,0.0004999929141131232,1,171630,0.2948495043551672,1,-0.2948495043551672,0.26761178703174904,0.3811454827984255,0.04781214946509216,0.9913874606071587,0.9211520954022903,0.2656071784212516,0.0,1.0,1.0,2.220446049250313e-16,0.9996765599309954,1.101780708635927,1000,0.2996429133307094,46.09165380010381,80,48
3,vqc,final,0.45629565674947736,0.16094615947919705,0.16144615239431018,0.0004999929141131232,1,171630,0.2948495043551672,1,-0.2948495043551672,0.26761178703174904,0.3811454827984255,0.04781214946509216,0.9913874606071587,0.9211520954022903,0.2656071784212516,0.0,1.0,1.0,2.220446049250313e-16,0.9996765599309954,1.101780708635927,1000,0.2996429133307094,46.09165380010381,80,48
4,qsnn,best,0.3134677805573872,0.09624902870853524,0.09674902755621638,0.0004999988466811295,1,87554,0.21671875300117083,1,-0.21671875300117083,0.26364036574061767,0.3916906265408165,0.058357293207483174,0.9927835154643724,0.8125449877626557,0.40924049315532984,0.0,0.9381702577881419,0.93308764641298,3.3306690738754696e-16,0.732015157544206,0.8220241706628089,840,0.22812421961489177,34.425806700019166,80,46
4,qsnn,final,0.30546785988079744,0.24415299277807126,0.2446529884862863,0.0004999957072150396,1,37149,0.06081487139451114,1,-0.06081487139451114,0.06147990858187755,0.5428200304733539,0.2094866971400206,0.958305519834648,0.8860381014773621,0.29282974439195986,0.0,0.942585735272319,0.9399765719128188,3.3306690738754696e-16,0.7584298298117444,0.9891828533466225,840,0.22812421961489177,34.425806700019166,80,46
4,vqc,best,0.42486370160065046,0.13331818206757134,0.13381817019596504,0.0004999881273936857,1,108721,0.2910455314046854,1,-0.2910455314046854,0.25771814070497795,0.39242133983435806,0.05908800650102475,0.9883869252587765,0.887512697141909,0.30025197799132614,0.0,1.0000000000000009,1.0000000000000009,1.1102230246251565e-16,0.9958693062721706,1.1293172091360806,620,0.3060097702194917,46.09369459981099,80,48
4,vqc,final,0.42403367164855454,0.15728938798274045,0.15778938726699948,0.0004999992832590283,1,67366,0.26624428438155506,1,-0.26624428438155506,0.23101468338888173,0.41273343940536505,0.07940010607203174,0.9905874050815964,0.9121856772276258,0.24816164507809704,0.0,1.0000000000000004,1.0000000000000004,4.440892098500626e-16,0.9969763548542541,1.1524994016651708,620,0.3060097702194917,46.09369459981099,80,48
5,qsnn,best,0.31678590778413446,0.12706158704913673,0.1275615831311659,0.0004999960810291582,1,59728,0.18922432465296857,1,-0.18922432465296857,0.21899268052142937,0.42591629732963393,0.09258296399630062,0.9899029133278829,0.8304959388272951,0.3699268419939329,0.0,0.9436845932677125,0.9422112332450397,4.440892098500626e-16,0.7569667265156491,0.8640668911966314,960,0.20183098491842238,35.46883720019832,80,46
5,qsnn,final,0.31997259997402805,0.12496340014816937,0.12546337291149945,0.0004999727623300754,1,55267,0.1945092270625286,1,-0.1945092270625286,0.22421236714500395,0.4226383285272676,0.08930499519393431,0.9909363281904656,0.8443833145569648,0.35352831827313025,0.0,0.944483211812859,0.9429891574975849,3.3306690738754696e-16,0.7629256733615375,0.86752229388281,960,0.20183098491842238,35.46883720019832,80,46
5,vqc,best,0.4347516258715678,0.1792694648180202,0.17976946434642443,0.0004999995274042324,1,153011,0.25498216152514336,1,-0.25498216152514336,0.22665363329260807,0.41411268059169853,0.08077934725836522,0.9885547678668544,0.9087337451680181,0.2909475224519267,0.0,1.0,1.0,2.220446049250313e-16,0.9922255935088955,1.1249859877426425,840,0.27223204513836097,46.821259800111875,80,48
5,vqc,final,0.42946291499008893,0.19808194231754017,0.19858193545447536,0.0004999931359351839,1,78541,0.23088097953561357,1,-0.23088097953561357,0.2005849268380209,0.4320832726202024,0.09874993928686909,0.9852390377344843,0.9324097850884575,0.24234851993606463,0.0,1.0,0.9999999999999999,3.3306690738754696e-16,0.9898504661210634,1.151038531036072,840,0.27223204513836097,46.821259800111875,80,48
6,qsnn,best,0.31191188119047986,0.14411978135085546,0.1446197597823025,0.0004999784304470234,1,54004,0.16729212140817737,1,-0.16729212140817737,0.1895054169543802,0.4470154428097071,0.1136821094763738,0.9855007817110313,0.8646971809856767,0.339519409515124,0.0,0.9439259737257812,0.9420005453881926,2.220446049250313e-16,0.7580415215221171,0.8827827937417205,920,0.18377141133608046,34.637995900120586,80,46
6,qsnn,final,0.3093763280298812,0.190536050957476,0.19103604319683176,0.0004999922383557565,1,46169,0.11834028483304943,1,-0.11834028483304943,0.12573064052793217,0.49257302748815984,0.15923969415482653,0.9734191684296394,0.9047530776953712,0.2996462073553472,0.0,0.945725506158892,0.9441378077160563,2.7755575615628914e-16,0.7686256660176243,0.9412207265957504,920,0.18377141133608046,34.637995900120586,80,46
6,vqc,best,0.425337120458085,0.10348188244933071,0.10398188151689738,0.0004999990665666698,1,96878,0.32135523894118767,1,-0.32135523894118767,0.29415250403661836,0.37487139240609807,0.041538059072764755,0.9958243418875414,0.9124776015636206,0.2425833485562092,0.0,1.0,1.0,3.3306690738754696e-16,0.997184157481805,1.0924783387231778,1000,0.34658357825292185,46.42508960003033,80,48
