epoch,global_step,loss_D,loss_G,grad_norm_D,grad_norm_G,discriminator_updates,generator_updates,V_trace,V_direct_success,accuracy,z_real,z_fake,output_mass_real,output_mass_fake,leakage_real,leakage_fake,fidelity_mean_states,trace_distance_mean_states,hellinger_mean_states,total_variation_mean_states,purity_real_mean_state,purity_fake_mean_state,trace_drift_max,trace_imag_max,hermiticity_drift_max,min_eigenvalue,autoencoder_reconstruction_mse,generated_mean_image_mse,generated_image_pixel_variance,real_image_pixel_variance,generated_latent_effective_dimensions,epoch_seconds,peak_cuda_memory_mb
10,693,-0.5535430794670468,-0.5363217355713011,0.0391852804237888,1.1047903554780143,63,189,0.5752368569374084,0.5752369165420532,0.5,0.8078612089157104,0.5069138407707214,1.0000001192092896,1.000000238418579,-1.043081283569336e-07,-1.7881393432617188e-07,0.7393119119979833,0.3820210513594844,0.19504762170648154,0.2132765670096055,0.8185391698696508,0.6403112736132327,2.2523454390466213e-07,4.185812969674518e-08,3.204615886152769e-08,-5.344571081184689e-08,0.004223042633384466,0.032441604882478714,0.035848766565322876,0.04785771667957306,58.5638427734375,10.242010200003278,104.63720703125
11,756,-0.5549747574897039,-0.526883643928659,0.03907144785163894,1.1193563203332286,63,189,0.5497725009918213,0.5497725009918213,0.5,0.7720016241073608,0.5729117393493652,1.0000001192092896,1.0000001192092896,-1.1920928955078125e-07,-1.1920928955078125e-07,0.7118623382306817,0.3555526298438133,0.15999013613833513,0.17569037423196693,0.7591099951358705,0.6488299831955049,2.5029294192790985e-07,3.622751361658655e-08,5.268356063861754e-08,-5.2925791701535044e-08,0.006505867000669241,0.014126738533377647,0.03125404939055443,0.05570176988840103,58.3304328918457,10.259959600000002,104.63720703125
12,819,-0.5556964325526405,-0.5113750270434788,0.03962359908554289,1.1209327326249825,63,189,0.5657637715339661,0.5657637715339661,0.5,0.7804759740829468,0.5174208879470825,1.0,1.0000001192092896,-2.2351741790771484e-08,-8.940696716308594e-08,0.7276760653133867,0.35785345083527026,0.17208151252334364,0.19483803898175023,0.7694516835249428,0.6437836563301661,2.2038875613361597e-07,4.360638987573051e-08,5.228694099045619e-08,-4.9370559068953856e-08,0.006100371014326811,0.019936084747314453,0.03122640959918499,0.05564378201961517,60.22513198852539,10.476901499998348,104.63720703125
13,882,-0.5563182679433671,-0.5188857238128702,0.03840427514579561,1.1101095307440985,63,189,0.5513989329338074,0.5513989925384521,0.5,0.7464531660079956,0.5408573746681213,1.0000001192092896,1.000000238418579,-1.2665987014770508e-07,-1.341104507446289e-07,0.7324804502183939,0.3304158425442911,0.15228877425467632,0.1693808942305469,0.7412366100977024,0.6431604621487939,2.634806151036173e-07,2.3253766624070638e-08,3.384944395234109e-08,-5.241667296338576e-08,0.005140069872140884,0.013724129647016525,0.03458520770072937,0.058528535068035126,60.267818450927734,10.464404599999398,104.63720703125
14,945,-0.5557452714632428,-0.5333588836054323,0.038503347171677485,1.1127656597309012,63,189,0.5728541612625122,0.5728541612625122,0.5,0.8015358448028564,0.5101193189620972,1.0,1.0,2.2351741790771484e-08,1.4901161193847656e-08,0.6977056159501275,0.4005542828978643,0.1952050933381838,0.22059482515452883,0.7901520648453342,0.5697349206337832,1.078587956726551e-07,3.3425596530217705e-08,3.2489678901643324e-08,-6.047599549597652e-08,0.005503615364432335,0.02385023795068264,0.03866339474916458,0.048814382404088974,59.18919372558594,10.332182399997691,104.63720703125
15,1008,-0.557461314731174,-0.532120606413594,0.038572084454316945,1.1158440264444502,63,189,0.5615652799606323,0.5615652799606323,0.5,0.7755237221717834,0.5292626619338989,1.0,1.000000238418579,-7.450580596923828e-08,-1.564621925354004e-07,0.7178414651617017,0.35526657882861634,0.15664927816055374,0.18115485305589352,0.7266121963411943,0.621750808032578,2.3485335987061262e-07,2.7411572119800942e-08,3.370902085308075e-08,-5.782441833007689e-08,0.005194874480366707,0.010972133837640285,0.03286094591021538,0.05757923796772957,59.682865142822266,10.50461560000258,104.63720703125
16,1071,-0.5580073188221644,-0.534993932676063,0.03835200338018319,1.1144730672634469,63,189,0.5254677534103394,0.5254677534103394,0.5,0.741897702217102,0.6400266885757446,1.0,1.0,0.0,0.0,0.695192143533927,0.40106383867733775,0.21020034917627137,0.24396941379739417,0.7288922042385693,0.6808232810176519,1.485605025663972e-07,3.448150721896415e-08,2.9155008201484622e-08,-4.947253037028572e-08,0.006998066790401936,0.025201283395290375,0.03352973982691765,0.05521739274263382,59.429866790771484,10.38440890000129,104.63720703125
17,1134,-0.5590133023640466,-0.508962360166368,0.0368621964303274,1.126607907196832,63,189,0.5631021857261658,0.5631022453308105,0.5,0.7044064402580261,0.45199769735336304,1.000000238418579,1.000000238418579,-1.1920928955078125e-07,-1.4901161193847656e-07,0.7434895625026944,0.34538477172346743,0.16786639984455806,0.19342474160557777,0.7608384740434198,0.6704866917704904,2.3528991732746363e-07,2.9142409173343875e-08,4.8652134413305585e-08,-5.186937727470382e-08,0.005488600581884384,0.01355223823338747,0.03120005875825882,0.05132221430540085,59.89303970336914,10.40000389999841,104.63720703125
18,1197,-0.5605057771243747,-0.4952578377471399,0.03736752256869324,1.1339430872094693,63,189,0.5413528084754944,0.5413528084754944,0.5,0.7054281234741211,0.5400168895721436,1.0,1.0,7.450580596923828e-09,-4.470348358154297e-08,0.6921912707877336,0.3783992272663751,0.18627903731125292,0.21917401836458475,0.7266382563618352,0.6061384596688955,1.864027581177652e-07,3.327464677491815e-08,3.062996683319367e-08,-6.214940581351132e-08,0.005448868032544851,0.015873409807682037,0.03768756985664368,0.05705036222934723,59.83951187133789,10.418066799997177,104.63720703125
19,1260,-0.5581930913622417,-0.4968082032821797,0.037873980870086046,1.130871538131956,63,189,0.5719201564788818,0.5719201564788818,0.5,0.8012151122093201,0.5135344862937927,1.0,1.0,7.450580596923828e-09,2.2351741790771484e-08,0.706555682059233,0.3652127789651271,0.16724746045932737,0.19168885207375452,0.802402393165181,0.6159546383053395,1.1539668776094913e-07,3.899843457021157e-08,3.7990655851310376e-08,-6.820481215946306e-08,0.005912981927394867,0.019229836761951447,0.029345976188778877,0.046464305371046066,58.9113655090332,10.521826899999724,104.63720703125
20,1323,-0.5573195919157967,-0.5418703464603929,0.03712445470903601,1.096432905033152,63,189,0.5564411282539368,0.5564411282539368,0.5,0.7315331697463989,0.5057686567306519,1.0,1.0,-5.21540641784668e-08,-2.2351741790771484e-08,0.7021352442261015,0.3438796456170489,0.14654952996702658,0.1692374060555908,0.6833683764302645,0.6231104366754078,1.3282988220453262e-07,3.8633101766272215e-08,3.7438704152110554e-08,-5.821120722231413e-08,0.005205993074923754,0.011596212163567543,0.0314410924911499,0.06333012878894806,60.54621124267578,10.535626400000183,104.63720703125
21,1386,-0.5606899829137892,-0.5195194596336001,0.038034754080904856,1.1087333121627727,63,189,0.5463739037513733,0.5463739633560181,0.5,0.7122706174850464,0.5267749428749084,1.0,1.0,-7.450580596923828e-09,-3.725290298461914e-08,0.7038742319731415,0.3620882828128564,0.16421684762216063,0.1830738950994535,0.6808112145668164,0.6494429136656241,1.6472768038511276e-07,2.828190701423261e-08,4.012260442327338e-08,-5.945671181986722e-08,0.007153997663408518,0.01787719689309597,0.0296076238155365,0.05670604482293129,60.31332778930664,10.457852099996671,104.63720703125
22,1449,-0.5603535317239308,-0.5227772133060233,0.037676160031604386,1.1194966271440818,63,189,0.5564788579940796,0.5564789175987244,0.5,0.7713231444358826,0.5454075932502747,1.0,1.0,-7.450580596923828e-08,-4.470348358154297e-08,0.7416473218128234,0.3233951318929531,0.13777688436176108,0.15897980531811856,0.744251293317808,0.6692254522159489,2.1368032321333885e-07,2.0383115625910442e-08,3.0321666218526114e-08,-4.92528702028771e-08,0.006370993796736002,0.018485402688384056,0.02813633531332016,0.06179279088973999,60.70193862915039,10.685548999997991,104.63720703125
23,1512,-0.5608032771519252,-0.5171688741477078,0.03709010924730036,1.1195066962292586,63,189,0.5581746101379395,0.5581746101379395,0.5,0.7612028121948242,0.5285043716430664,1.0,1.0,-7.450580596923828e-09,-5.960464477539063e-08,0.7339153420965148,0.34103674297094144,0.15659250327890345,0.18123166977810018,0.7267578817314433,0.6699357469907775,1.8707942217588425e-07,3.3459021716447657e-08,4.53201124839352e-08,-5.04365677315656e-08,0.006627608090639114,0.012387647293508053,0.02939145267009735,0.057915180921554565,59.47494125366211,10.409413499997754,104.63720703125
24,1575,-0.5625178965311202,-0.5023537882106014,0.03687068547994372,1.13337315327276,63,189,0.568803608417511,0.5688036680221558,0.5,0.720876157283783,0.44566163420677185,1.0,1.0,-8.940696716308594e-08,-1.043081283569336e-07,0.7202699269693855,0.358451658738487,0.17398168951990803,0.2004383252640546,0.777185761441981,0.6183075648525402,1.7920683603733778e-07,3.61275376559167e-08,4.114717624033712e-08,-5.348038955364973e-08,0.00674695149064064,0.019262202084064484,0.03742552548646927,0.05441494658589363,59.69345474243164,10.338783400002285,104.63720703125
