model,epoch,loss_D,loss_G,V_trace,V_direct_success,accuracy,output_mass_real,output_mass_fake,leakage_real,leakage_fake,fidelity_mean_states,trace_distance_mean_states,total_variation_mean_states,grad_norm_D,grad_norm_G,epoch_seconds,peak_cuda_memory_mb
qsnn_full,99.0,-0.5747999529989939,-0.28099344055803993,0.5658870339393616,0.5633230805397034,0.5,0.9951474666595459,0.9945968389511108,0.004852510988712311,0.005403138697147369,0.7240411832577209,0.35409320136180705,0.18660444289633268,0.04531747504832253,1.114304450769273,54.78737750000073,379.322265625
vqc,99.0,-0.5587546106368776,-0.5008243789117803,0.5549924969673157,0.5549924969673157,0.5,0.9999999403953552,0.9999999403953552,6.705522537231445e-08,2.2351741790771484e-08,0.7266339661452905,0.3501273096342518,0.18131319973084736,0.03407543735016906,1.0661203754011286,10.641098199997941,104.63720703125
