method,train_seconds,test_predict_seconds,test_accuracy,test_log_loss
"LogisticRegression(x,y)",0.008552749990485609,0.00015529105439782143,0.5,0.6826827817619532
"LogisticRegression(x,y,r2,xy)",0.000853791949339211,0.00011662498582154512,1.0,0.06065924930895999
"RBF-SVM(x,y)",0.0036344589898362756,0.0003173330333083868,1.0,0.03774742556387952
