update,old_loss_mean,new_loss_mean,delta_loss,old_test1_mean,new_test1_mean,delta_test1,old_test2_mean,new_test2_mean,delta_test2,old_test3_mean,new_test3_mean,delta_test3,old_test4_mean,new_test4_mean,delta_test4
0,0.501586908578963,0.5007215778032938,-0.000865330775669193,0.5966308296074898,0.355022124449412,-0.2416087051580778,0.5799394375890742,0.48697539369265236,-0.09296404389642182,0.5525481995554438,0.41296124358971914,-0.13958695596572462,0.5489078019304119,0.4162675033013026,-0.1326402986291093
1,0.47923327889860623,0.46685542662938434,-0.01237785226922189,0.5969327449259011,0.3541565189758937,-0.24277622595000742,0.5790987979238218,0.4829319844643275,-0.0961668134594943,0.5936094475002356,0.4745889276266098,-0.11902051987362577,0.5911897980719453,0.48191514015197756,-0.10927465791996771
2,0.4584382143621699,0.4363647222518921,-0.022073492110277815,0.5964207787190692,0.35265542442599934,-0.24376535429306984,0.5773446385086685,0.4795988033215205,-0.09774583518714797,0.6300558122134495,0.5284809708595276,-0.10157484135392192,0.628808450432319,0.5389096170663834,-0.08989883336593563
3,0.43928030287685466,0.40837116638819376,-0.030909136488660893,0.5949312084820442,0.35027152448892596,-0.24465968399311822,0.5745503192688911,0.4769275993108749,-0.09762271995801619,0.6617228894181957,0.576973005135854,-0.08474988428234165,0.6615609506400031,0.5896037340164184,-0.07195721662358467
4,0.421740128010763,0.3819115956624349,-0.039828532348328116,0.5924929396517292,0.3474077681700389,-0.24508517148169034,0.5707960375990073,0.47528563141822816,-0.09551040618077916,0.6890128662314278,0.6231807351112366,-0.06583213112019115,0.6898327944972117,0.6374481310447057,-0.05238466345250603
5,0.4057351372166884,0.3564988454182943,-0.049236291798394116,0.5892473033899226,0.3447827671964963,-0.24446453619342629,0.5662751519775149,0.4749980002641678,-0.0912771517133471,0.7125511719819659,0.669193704922994,-0.04335746705897192,0.714245760945062,0.684865289926529,-0.029380471018533028
6,0.39114187794861105,0.3328854481379191,-0.058256429810691956,0.5853801798344677,0.34287518908580145,-0.24250499074866622,0.56120640806119,0.4755789786577225,-0.08562742940346757,0.7329624814226511,0.7133188078800837,-0.019643673542567353,0.7354272962707877,0.7301442285378774,-0.005283067732910318
7,0.37781706268489307,0.3126027822494507,-0.06521428043544236,0.5810786173281904,0.3411631981531779,-0.23991541917501252,0.5557875643113673,0.4754141062498093,-0.08037345806155805,0.7507867258568411,0.7504748582839966,-0.00031186757284451527,0.7539237884063681,0.7680854976177216,0.014161709211353513
8,0.36562193701262535,0.2960089127222697,-0.06961302429035565,0.576506913764607,0.3389548887809118,-0.23755202498369526,0.5501826479451201,0.4735062887271245,-0.07667635921799554,0.7664571431457584,0.7787203212579091,0.012263178112150719,0.7701765565339147,0.7968483765920004,0.02667182005808566
9,0.3544407903571589,0.2822352131207784,-0.07220557723638049,0.5717947094377352,0.3363575170437495,-0.23543719239398575,0.544521941658506,0.47036423683166506,-0.07415770482684092,0.7802942543571815,0.8004632016023,0.02016894724511853,0.7845144616395714,0.8189906656742096,0.03447620403463825
